Final Letter Grade Rating,rm_key,Loan_Closed_Date,census_block_order_key,foa_mgmt_co_dim_key,owner_key,Principal Program Detail Code,Stmt_date,DSC_Ratio_II,Current_Ratio,Total Total Funds Flow Prior to CE & D/S (Line 62),Total Replacement Reserve Reimbursements (Line 18A),Total Interest Income Earned on R/R and Special Escrow (Line 78),Total Gross Debt Service - Mortgage (MHFA) (Line 66),Total Gross Debt Service - Energy Loans (Line 68),Total Current Assets (Line 230),Total Current Liabilities (Line 280),Current Portion of Mortgage Payable (Line 251),Notes & Advances - due within 1 year (Line 252),Gross Sf Residential,Gross Sf Residential Communal,Gross Sf Residential Noncommunal,Gross Sf Commercial,Gross Sf Unfinished Space,Gross Sf Parking Structure,Square Footage Net Rentable,Square Footage Residential Net Rentable,Square Footage Commercial Net Rentable,Number Of Buildings,Number Of Predominant Stories,Number Of Elevators,Total Gross Sf Land,Total Gross Sf Buildings,Total Rental Units,Low Income Rental Units,Moderate Income Rental Units,Market Rate Rental Units,Non_revenue Rental Units,Elderly Restricted Rental Units,Unrestricted Rental Units,Student Rental Units,Other Restricted Rental Units,Fully Access Handicapped Rental Units,Partially Access Handicapped Rental Units,Average Bedroom Density,Studio Rental Units,One Bedroom Rental Units,Two Bedroom Rental Units,Three Bedroom Rental Units,Four Bedroom Rental Units,Five Bedroom Rental Units,Six Bedroom Rental Units
1,204,20040429,28,148,123,14,20081231,1.48,1.16,336951,58870,7310,182539,0,79660,94503,25675,0,4983,2395,2588,,,,,,,1,3,1,,4983,44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
1,204,20040429,28,148,123,14,20091231,1.23,1.34,259469,31949,2553,182772,0,72872,74732,20500,0,4983,2395,2588,,,,,,,1,3,1,,4983,44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
1,204,20040429,28,148,123,14,20101231,1.28,2.68,259040,24293,958,182386,0,93149,58545,23750,0,4983,2395,2588,,,,,,,1,3,1,,4983,44,44,0,0,0,44,0,0,0,2,0,1.07,0,41,3,0,0,0,0
1,451,20040421,801,122,50,21,20051231,0.78,2.19,64779,0,777,81652,0,124390,89884,33128,0,11717,4172,7545,0,0,0,6773,6773,0,1,3,1,99891,11717,19,19,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0
1,451,20040421,801,122,50,21,20081231,1.19,1.97,101267,0,1301,84048,0,94122,87731,39881,0,11717,4172,7545,0,0,0,6773,6773,0,1,3,1,99891,11717,19,19,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0
1,451,20040421,801,122,50,21,20091231,1.07,2.53,94532,4971,539,83145,0,101133,82349,42425,0,11717,4172,7545,0,0,0,6773,6773,0,1,3,1,99891,11717,19,19,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0
1,451,20040421,801,122,50,21,20101231,1.11,4.09,95854,3265,229,82946,0,114758,73189,45132,0,11717,4172,7545,0,0,0,6773,6773,0,1,3,1,99891,11717,19,19,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0
4,451,20040421,801,122,50,21,20071231,0.33,1.12,29574,0,1766,84048,0,96010,123406,37490,0,11717,4172,7545,0,0,0,6773,6773,0,1,3,1,99891,11717,19,19,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0
3,498,20040414,450,149,156,21,20081231,0.95,1.14,1102107,30925,4671,1120872,0,298506,375013,114195,0,278546,84386,194160,0,7282,0,169720,169720,,1,6,2,104412,285828,154,32,0,122,0,0,154,0,0,0,0,1.6,0,66,84,4,0,0,0
4,498,20040414,450,149,156,21,20061231,0.41,0.93,439504,0,22350,1018661,0,700136,3437733,482013,2204999,278546,84386,194160,0,7282,0,169720,169720,,1,6,2,104412,285828,154,32,0,122,0,0,154,0,0,0,0,1.6,0,66,84,4,0,0,0
1,197,20040402,466,122,116,15,20050630,1.39,8.51,487733,71120,31662,277820,0,858806,132630,31746,0,45000,45000,,,,,36600,36600,,1,3,1,,45000,61,60,0,1,0,60,1,0,0,0,0,1,0,61,0,0,0,0,0
1,197,20040402,466,122,116,15,20060630,1.06,12.73,354685,19700,40398,277453,0,885939,103095,33526,0,45000,45000,,,,,36600,36600,,1,3,1,,45000,61,60,0,1,0,60,1,0,0,0,0,1,0,61,0,0,0,0,0
1,197,20040402,466,122,116,15,20070630,1.18,11.02,413329,36546,50463,277297,0,925514,119204,35207,0,45000,45000,,,,,36600,36600,,1,3,1,,45000,61,60,0,1,0,60,1,0,0,0,0,1,0,61,0,0,0,0,0
1,197,20040402,466,122,116,15,20080630,1.28,8.52,444665,28486,60457,277133,0,1015511,156552,37393,0,45000,45000,,,,,36600,36600,,1,3,1,,45000,61,60,0,1,0,60,1,0,0,0,0,1,0,61,0,0,0,0,0
1,197,20040402,466,122,116,15,20090630,1.45,5.88,462427,30200,31457,276939,0,1114572,228972,39490,0,45000,45000,,,,,36600,36600,,1,3,1,,45000,61,60,0,1,0,60,1,0,0,0,0,1,0,61,0,0,0,0,0
1,197,20040402,466,122,116,15,20100630,1.35,7.08,416833,30963,10950,277413,0,1230884,215548,41705,0,45000,45000,,,,,36600,36600,,1,3,1,,45000,61,60,0,1,0,60,1,0,0,0,0,1,0,61,0,0,0,0,0
3,311,20040401,54,71,25,7,20061231,-0.6,6.82,-93050,0,10852,171806,0,591608,140242,53492,0,60727,,60727,,,,0,,,1,4,2,,60727,69,64,5,0,0,69,0,0,0,5,0,1.03,0,67,2,0,0,0,0
3,496,20040326,1030,122,97,22,20071231,0.82,3.7,294632,7054,12423,334421,0,421846,147834,33870,0,45765,5188,40577,0,0,0,40577,40577,0,1,4,1,33679,45765,46,46,0,0,0,0,46,0,0,6,0,2.11,0,4,34,7,1,0,0
4,501,20040302,156,504,50,3,20051231,0.62,0.75,350367,0,2971,561165,0,368265,559686,67829,0,62709,18584,44125,,,429,35686,35686,0,1,2,2,419525,63138,78,16,0,62,0,78,0,0,0,0,0,0.72,24,52,2,0,0,0,0
4,501,20040302,156,504,50,3,20091231,0.82,0.53,671687,9511,1305,808080,0,329283,713080,86347,0,62709,18584,44125,,,429,35686,35686,0,1,2,2,419525,63138,78,16,0,62,0,78,0,0,0,0,0,0.72,24,52,2,0,0,0,0
4,501,20040302,156,504,50,3,20101231,0.87,0.51,724054,21880,566,807424,0,288489,662858,91719,0,62709,18584,44125,,,429,35686,35686,0,1,2,2,419525,63138,78,16,0,62,0,78,0,0,0,0,0,0.72,24,52,2,0,0,0,0
1,225,20040123,711,401,68,14,20050930,1.25,4.29,1103248,328965,9697,613800,0,554120,194450,65412,0,155000,,155000,,,,0,,,1,3,3,,155000,160,159,0,0,1,159,1,0,0,160,0,0.76,40,119,1,0,0,0,0
1,225,20040123,711,401,68,14,20061231,1.12,1.81,1156944,455937,11107,613800,0,499858,345912,69254,0,155000,,155000,,,,0,,,1,3,3,,155000,160,159,0,0,1,159,1,0,0,160,0,0.76,40,119,1,0,0,0,0
1,225,20040123,711,401,68,14,20080930,1.14,2.48,830457,125000,5099,612078,0,318130,206039,77626,0,155000,,155000,,,,0,,,1,3,3,,155000,160,159,0,0,1,159,1,0,0,160,0,0.76,40,119,1,0,0,0,0
1,225,20040123,711,401,68,14,20090930,1.14,2.18,897249,199640,2099,611006,0,280395,211054,82183,0,155000,,155000,,,,0,,,1,3,3,,155000,160,159,0,0,1,159,1,0,0,160,0,0.76,40,119,1,0,0,0,0
1,225,20040123,711,401,68,14,20100930,1.12,1.44,845645,160585,963,611313,0,284482,284233,87013,0,155000,,155000,,,,0,,,1,3,3,,155000,160,159,0,0,1,159,1,0,0,160,0,0.76,40,119,1,0,0,0,0
3,135,20031219,651,122,50,13,20081231,0.85,1.32,167222,33505,2313,154298,0,99956,110201,34237,0,29900,,29900,,,,0,,,1,5,1,,29900,34,3,31,0,0,0,34,0,0,1,0,0.88,4,30,0,0,0,0,0
4,135,20031219,651,122,50,13,20031231,0,0,-148521,0,0,0,0,0,0,0,0,29900,,29900,,,,0,,,1,5,1,,29900,34,3,31,0,0,0,34,0,0,1,0,0.88,4,30,0,0,0,0,0
3,502,20031218,401,113,88,22,20071231,0.88,1.22,232596,27082,2271,232177,0,143740,133058,15000,0,95875,14781,81094,,,,0,,,4,3,0,255764,95875,80,76,0,4,0,0,80,0,0,0,0,2.18,0,10,46,24,0,0,0
3,495,20031124,1189,231,40,15,20051231,0.63,2.26,120717,34436,2984,131215,0,292324,143682,14137,0,71297,,71297,,,,0,,,1,4,1,,71297,74,73,0,0,1,0,74,0,0,4,0,1.23,0,60,11,3,0,0,0
4,495,20031124,1189,231,40,15,20021231,0,0,-167559,0,0,0,0,0,0,0,0,71297,,71297,,,,0,,,1,4,1,,71297,74,73,0,0,1,0,74,0,0,4,0,1.23,0,60,11,3,0,0,0
1,259,20030905,800,146,50,3,20081231,1.42,1.22,1102776,61934,3062,729292,0,732471,666362,67871,0,76685,,76685,,,,0,,,1,4,2,,76685,102,69,0,33,0,102,0,0,0,0,0,0.6,41,61,0,0,0,0,0
1,259,20030905,800,146,50,3,20091231,1.77,1.99,1292371,0,1063,729292,0,1256089,702570,72308,541,76685,,76685,,,,0,,,1,4,2,,76685,102,69,0,33,0,102,0,0,0,0,0,0.6,41,61,0,0,0,0,0
1,259,20030905,800,146,50,3,20101231,1.24,1.97,904487,0,632,728739,0,1429647,804083,77036,0,76685,,76685,,,,0,,,1,4,2,,76685,102,69,0,33,0,102,0,0,0,0,0,0.6,41,61,0,0,0,0,0
2,259,20030905,800,146,50,3,20061231,1.11,0.66,902870,59213,1925,759055,0,494327,803650,59796,0,76685,,76685,,,,0,,,1,4,2,,76685,102,69,0,33,0,102,0,0,0,0,0,0.6,41,61,0,0,0,0,0
2,259,20030905,800,146,50,3,20071231,1.3,0.85,949547,0,3073,727729,0,679857,860915,63706,0,76685,,76685,,,,0,,,1,4,2,,76685,102,69,0,33,0,102,0,0,0,0,0,0.6,41,61,0,0,0,0,0
4,259,20030905,800,146,50,3,20051231,0.48,1.01,335993,0,1142,695622,0,752288,858554,51584,63083,76685,,76685,,,,0,,,1,4,2,,76685,102,69,0,33,0,102,0,0,0,0,0,0.6,41,61,0,0,0,0,0
1,372,20030710,902,181,133,13,20051231,1.22,1.19,2067011,12074,30978,1665364,0,1982702,2036012,374895,0,173308,31308,142000,0,2019,0,0,,,2,4,0,,175327,185,172,13,0,0,0,185,0,0,20,0,1.64,20,70,71,8,12,4,0
1,372,20030710,902,181,133,13,20061231,0.97,2.76,2012641,30482,53559,1997564,0,2286411,1257985,430644,0,173308,31308,142000,0,2019,0,0,,,2,4,0,,175327,185,172,13,0,0,0,185,0,0,20,0,1.64,20,70,71,8,12,4,0
1,372,20030710,902,181,133,13,20071231,1.12,3.35,2265064,56588,68040,1908417,0,2328712,1149326,454479,0,173308,31308,142000,0,2019,0,0,,,2,4,0,,175327,185,172,13,0,0,0,185,0,0,20,0,1.64,20,70,71,8,12,4,0
1,372,20030710,902,181,133,13,20081231,1.2,3.39,2261206,19123,12854,1862831,0,2706660,1278351,480646,0,173308,31308,142000,0,2019,0,0,,,2,4,0,,175327,185,172,13,0,0,0,185,0,0,20,0,1.64,20,70,71,8,12,4,0
1,372,20030710,902,181,133,13,20091231,1.17,3.46,2552967,287031,19507,1916875,0,2620119,1263689,506216,0,173308,31308,142000,0,2019,0,0,,,2,4,0,,175327,185,172,13,0,0,0,185,0,0,20,0,1.64,20,70,71,8,12,4,0
3,182,20030702,500,7,105,14,20051231,0.82,14.45,275430,4229,21879,303380,0,681173,90499,43346,0,60000,,60000,,,,,,,1,3,1,,60000,74,73,0,0,1,73,1,0,0,9,0,0.96,3,71,0,0,0,0,0
5,449,20030627,482,258,13,4,20061231,0.89,0.95,1603662,50334,4554,1737741,0,434038,728049,270895,0,188583,,188583,,,,0,,,13,3,0,,188583,156,39,0,117,0,0,156,0,0,0,0,1.56,0,69,87,0,0,0,0
5,449,20030627,482,258,13,4,20071231,0.77,0.92,1444343,55103,5036,1786681,0,383798,708870,290189,0,188583,,188583,,,,0,,,13,3,0,,188583,156,39,0,117,0,0,156,0,0,0,0,1.56,0,69,87,0,0,0,0
3,449,20030627,482,258,13,4,20041231,0.87,1.18,1561015,0,2338,1788597,0,525480,681859,237427,0,188583,,188583,,,,0,,,13,3,0,,188583,156,39,0,117,0,0,156,0,0,0,0,1.56,0,69,87,0,0,0,0
4,449,20030627,482,258,13,4,20051231,0.85,0.74,1580498,48572,3203,1789440,0,483766,904648,252883,0,188583,,188583,,,,0,,,13,3,0,,188583,156,39,0,117,0,0,156,0,0,0,0,1.56,0,69,87,0,0,0,0
4,449,20030627,482,258,13,4,20081231,0.86,1.03,1602262,58709,3105,1785949,0,410429,708003,310858,0,188583,,188583,,,,0,,,13,3,0,,188583,156,39,0,117,0,0,156,0,0,0,0,1.56,0,69,87,0,0,0,0
4,449,20030627,482,258,13,4,20091231,0.87,1.04,1623275,72387,1116,1789440,0,368439,688857,332998,0,188583,,188583,,,,0,,,13,3,0,,188583,156,39,0,117,0,0,156,0,0,0,0,1.56,0,69,87,0,0,0,0
3,252,20030306,496,258,13,4,20051231,0.81,1.42,1136966,13495,3093,1389013,0,449279,424632,109294,0,143267,,143267,,,,0,,,6,3,0,,143267,120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
3,252,20030306,496,258,13,4,20061231,0.84,1.24,1192370,20543,5086,1388574,0,383813,426439,116730,0,143267,,143267,,,,0,,,6,3,0,,143267,120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
3,252,20030306,496,258,13,4,20071231,0.85,1.22,1231615,48137,6221,1388129,0,350345,411466,124671,0,143267,,143267,,,,0,,,6,3,0,,143267,120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
3,252,20030306,496,258,13,4,20081231,0.8,1.53,1177888,57553,3708,1387676,0,426254,412605,133153,0,143267,,143267,,,,0,,,6,3,0,,143267,120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
3,252,20030306,496,258,13,4,20091231,0.68,1.27,981067,39167,1310,1389902,0,335156,406903,142212,0,143267,,143267,,,,0,,,6,3,0,,143267,120,24,0,96,0,0,120,0,0,0,0,1.7,0,48,60,12,0,0,0
1,201,20030108,1245,89,114,14,20031231,1.33,2.2,2345739,35888,66884,1688077,0,1676341,1169488,409166,0,259495,,259495,,,,,,,2,9,4,,259495,302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
1,201,20030108,1245,89,114,14,20041231,1.32,2.76,2436482,84870,7376,1773353,0,1532290,987020,432204,0,259495,,259495,,,,,,,2,9,4,,259495,302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
1,201,20030108,1245,89,114,14,20051231,1.28,1.81,2388304,114945,6649,1773248,0,1307635,1180937,456540,0,259495,,259495,,,,,,,2,9,4,,259495,302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
1,201,20030108,1245,89,114,14,20061231,1.31,1.35,2438868,99138,11438,1775229,0,1176237,1353548,482247,0,259495,,259495,,,,,,,2,9,4,,259495,302,300,0,0,2,300,2,0,0,36,0,1.22,0,235,67,0,0,0,0
2,454,20021210,752,229,15,10,20051231,0.91,2.09,527706,32720,3551,539314,0,527312,417509,164717,0,145908,0,145908,0,0,0,154812,154812,0,19,3,0,332731,145908,168,46,0,122,0,0,168,0,0,3,0,2.18,0,0,138,30,0,0,0
2,454,20021210,752,229,15,10,20091231,1.02,0.99,668167,117214,544,539314,0,223554,434947,210196,0,145908,0,145908,0,0,0,154812,154812,0,19,3,0,332731,145908,168,46,0,122,0,0,168,0,0,3,0,2.18,0,0,138,30,0,0,0
